ExpressionSampleName,Sample,Replicate
,Juvenile Leaf Blade (Leaf 3)_19 Day,Juvenile Leaf Blade (Leaf 3)_19 Day_1
,Juvenile Leaf Blade (Leaf 3)_19 Day,Juvenile Leaf Blade (Leaf 3)_19 Day_2
,Juvenile Leaf Blade (Leaf 3)_19 Day,Juvenile Leaf Blade (Leaf 3)_19 Day_3
,Juvenile Leaf Blade (Leaf 3)_19 Day,Juvenile Leaf Blade (Leaf 3)_19 Day_4
Mature Leaf 8,Mature Leaf_leaf 8 (43 Day Old),Mature Leaf_leaf 8 (43 Day Old)_1
Mature Leaf 8,Mature Leaf_leaf 8 (43 Day Old),Mature Leaf_leaf 8 (43 Day Old)_2
Mature Leaf 8,Mature Leaf_leaf 8 (43 Day Old),Mature Leaf_leaf 8 (43 Day Old)_3
Mature Leaf 8,Mature Leaf_leaf 8 (43 Day Old),Mature Leaf_leaf 8 (43 Day Old)_4
Mature Leaf 8,Mature Leaf_leaf 8 (43 Day Old),Mature Leaf_leaf 8 (43 Day Old)_5
Mature Leaf 8,Mature Leaf_leaf 8 (43 Day Old),Mature Leaf_leaf 8 (43 Day Old)_6
Pericarp/Aleurone 27 DAP,Pericarp|Aleurone_27 DAP,Pericarp|Aleurone_27 DAP_1
Pericarp/Aleurone 27 DAP,Pericarp|Aleurone_27 DAP,Pericarp|Aleurone_27 DAP_2
Pericarp/Aleurone 27 DAP,Pericarp|Aleurone_27 DAP,Pericarp|Aleurone_27 DAP_3
Pericarp/Aleurone 27 DAP,Pericarp|Aleurone_27 DAP,Pericarp|Aleurone_27 DAP_4
Pericarp/Aleurone 27 DAP,Pericarp|Aleurone_27 DAP,Pericarp|Aleurone_27 DAP_5
Primary Root 5 Days,Primary Root_5 Days,Primary Root_5 Days_1
Primary Root 5 Days,Primary Root_5 Days,Primary Root_5 Days_2
Primary Root 5 Days,Primary Root_5 Days,Primary Root_5 Days_3
Primary Root 5 Days,Primary Root_5 Days,Primary Root_5 Days_4
Root - Cortex 5 Days,Root - Cortex_5 Days,Root - Cortex_5 Days_1
